Category,Sub-Technique,Description,GIF URL,GIF Filename,Creator,Source URL,Page URL
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/02/AJ_Tracey_-_Wifey_Riddim_4_Official_Video_qzdR7TX/defc10f6d4a9f37a51c4c7eaceb1e85c.gif,defc10f6d4a9f37a51c4c7eaceb1e85c.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/25/tumblr_09076c16459c18d66175c7d1e0126fc0_f1b6c2e3_540/505c7e8551c2dc4fcc08ea49fa5b3385.gif,505c7e8551c2dc4fcc08ea49fa5b3385.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/24/tumblr_5759956983ec528a274a7153c413305d_5e3d9290_540/5d0940b2515022ac77f9bfa91fe48637.gif,5d0940b2515022ac77f9bfa91fe48637.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/tumblr_5c099250388af14275bbfdfe1a81b614_0f8b6f59_540/b5642ae3ca5388078ce7922719ad1eed.gif,b5642ae3ca5388078ce7922719ad1eed.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/24/tumblr_b2f46127f130b5aa08a4a9ababa783ad_2857ca89_540/32fdf82774b5f004dd6e63b36b747e74.gif,32fdf82774b5f004dd6e63b36b747e74.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/Unicef_-_Never_give_up_aiRajTh/6a28f40aeceb4fa79f70076c1b445c77.gif,6a28f40aeceb4fa79f70076c1b445c77.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/29/tumblr_a200eaaa6efdddfe408f980cec4cf32a_e24a4de6_540/159b560920ac7ae907604cc5fef8b935.gif,159b560920ac7ae907604cc5fef8b935.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/25/tumblr_aea45f41fae333eff7fcd8200c6bb0ae_c2fd0753_540/cfc378dbb8e363012b79f77ebe44ee0f.gif,cfc378dbb8e363012b79f77ebe44ee0f.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/18/ezgif-4-aebabad83d/6597973e9c6c3ed73e65a513f2df1c77.gif,6597973e9c6c3ed73e65a513f2df1c77.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/18/YUNGBLUD_x_Lil_Yachty_-__When_We_Die__Directors_Cut_anGLkH6/3cfeabb476d732c84bef27c0f108c3b3.gif,3cfeabb476d732c84bef27c0f108c3b3.gif,"",,https://eyecannndy.com/technique/close-up
